Molalit�t_NaCl;Molalit�t_KCl;Molalit�t_CaCl2;Druck in bar;Temperatur in K;dyn. Viskosit�t ?  in mPa�s;? in g/cm�;therm._LF in W/m/K
0;0;0;1;293.15;1.0073;0.99816;0
0.10019;0;0;1;293.15;1.0197;1.00313;0
0.2008;0;0;1;293.15;1.0254;1.00649;0
0.40002;0;0;1;293.15;1.0526;1.01541;0
0.70133;0;0;1;293.15;1.0797;1.02757;0
0.99914;0;0;1;293.15;1.1075;1.03922;0
1.4993;0;0;1;293.15;1.1639;1.06118;0
2.00279;0;0;1;293.15;1.2598;1.08238;0
2.99967;0;0;1;293.15;1.3896;1.11738;0
3.99396;0;0;1;293.15;1.5595;1.14749;0
4.99689;0;0;1;293.15;1.7825;1.17413;0
5.998;0;0;1;293.15;2.0017;1.20021;0
0;0;0;1;293.15;1.0073;0.99816;0
0;0;0.05129;1;293.15;1.0221;1.00345;0
0;0;0.09722;1;293.15;1.0356;1.00809;0
0;0;0.17852;1;293.15;1.0579;1.01541;0
0;0;0.38279;1;293.15;1.1141;1.03241;0
0;0;0.75323;1;293.15;1.2418;1.06599;0
0;0;1.56669;1;293.15;1.6069;1.13633;0
0;0;2.14386;1;293.15;1.942;1.17884;0
0;0;2.81501;1;293.15;2.3059;1.21604;0
0;0;3.98835;1;293.15;3.0214;1.26493;0
0;0;4.53213;1;293.15;3.9166;1.30249;0
0;0;5.31518;1;293.15;5.4885;1.34504;0
0.085457;0;0.085683;1;293.15;1.034;1.01032;0
0.324904;0;0.328649;1;293.15;1.1228;1.04156;0
0.64595;0;0.648909;1;293.15;1.2861;1.0836;0
1.272553;0;1.266206;1;293.15;1.6555;1.15266;0
2.24263;0;2.237887;1;293.15;2.6913;1.25072;0
0.332463;0;0.33269;1;293.15;1.1338;1.04392;0
0.694796;0;0.694641;1;293.15;1.2952;1.08735;0
0.988721;0;0.986929;1;293.15;1.4543;1.12008;0
1.267037;0;1.263997;1;293.15;1.6565;1.15303;0
1.635905;0;1.632679;1;293.15;1.9726;1.19117;0
1.889815;0;1.890629;1;293.15;2.1866;1.21319;0
0.194014;0;0.387513;1;293.15;1.1318;1.04202;0
0.383226;0;0.766185;1;293.15;1.2824;1.08147;0
0.589683;0;1.177937;1;293.15;1.4998;1.1253;0
0.766939;0;1.534159;1;293.15;1.6986;1.15618;0
0.949068;0;1.898666;1;293.15;1.9752;1.19005;0
1.129617;0;2.25851;1;293.15;2.2934;1.22106;0
0.50052;0;0.250228;1;293.15;1.1275;1.0432;0
1.000532;0;0.500269;1;293.15;1.2587;1.08064;0
1.494273;0;0.747112;1;293.15;1.4393;1.11944;0
1.963936;0;0.981999;1;293.15;1.652;1.15397;0
2.434396;0;1.217242;1;293.15;1.9525;1.18347;0
2.904099;0;1.452061;1;293.15;2.3511;1.21498;0
0.605785;0;0.201951;1;293.15;1.1223;1.0426;0
1.203891;0;0.401301;1;293.15;1.2622;1.08323;0
1.801202;0;0.600445;1;293.15;1.4391;1.12155;0
2.386591;0;0.79551;1;293.15;1.6227;1.15254;0
2.962269;0;0.987464;1;293.15;1.8718;1.18477;0
3.528811;0;1.176292;1;293.15;2.1427;1.21181;0
0.381608;0;0.31434;1;293.15;1.1395;1.04521;0
0.755841;0;0.622386;1;293.15;1.2875;1.08367;0
1.120155;0;0.9225;1;293.15;1.4991;1.12304;0
1.471588;0;1.211921;1;293.15;1.6907;1.15732;0
1.822351;0;1.50071;1;293.15;1.9433;1.18912;0
2.168757;0;1.786067;1;293.15;2.2757;1.22081;0
1.200854;0;0;1;293.15;1.1211;1.04936;0
2.399787;0;0;1;293.15;1.2702;1.09401;0
3.592996;0;0;1;293.15;1.4802;1.13628;0
4.781198;0;0;1;293.15;1.7134;1.16901;0
5.961781;0;0;1;293.15;2.0142;1.20302;0
0;0;1.240167;1;293.15;1.4689;1.11263;0
0;0;2.376189;1;293.15;2.1556;1.20254;0
0;0;3.416446;1;293.15;3.0432;1.26541;0
